t_hour,line,sequence,direction,timetaken
11,38,17,2,40000
11,25,40,2,119999
11,29,28,1,134999
11,29,22,2,34999
11,38,10,1,60000
11,29,38,2,195000
11,29,13,1,155001
11,29,28,1,144999
11,29,23,2,50000
11,29,27,2,145000
11,38,34,2,65000
11,38,15,1,80000
11,38,12,1,65000
11,38,32,2,75000
11,29,31,2,60000
11,38,7,2,115000
11,29,35,1,134999
11,29,21,2,45000
11,29,10,1,85001
11,29,23,2,30001
11,29,22,1,95000
11,38,8,1,1360000
11,38,8,1,845000
11,38,20,2,115000
11,29,17,2,55001
11,38,37,1,85001
11,25,23,2,100001
11,25,23,2,10000
11,38,37,1,80001
11,29,27,1,75000
11,29,32,2,50000
11,25,24,2,5000
11,29,14,2,155000
11,38,17,1,70000
11,29,15,1,150000
11,29,35,1,95000
11,29,35,1,119999
11,38,33,2,25000
11,38,36,1,94999
11,38,35,1,105000
11,29,42,1,85000
11,38,11,1,130000
11,25,26,1,75000
11,29,37,2,115001
11,38,9,1,25000
11,38,25,1,95000
11,38,31,2,149999
11,38,2,1,725001
11,29,14,1,60000
11,25,15,2,225000
11,29,18,2,35000
11,29,36,2,110001
11,38,35,2,55000
11,29,33,2,34999
11,29,4,1,109999
11,29,6,1,115000
11,38,4,2,175001
11,29,29,1,75001
11,38,20,2,125000
11,29,11,1,50000
11,29,28,2,60000
11,29,36,1,35001
11,38,33,1,65001
11,25,11,1,20001
11,29,22,2,55001
11,29,26,2,95000
11,38,21,1,100000
11,38,27,1,119999
11,29,24,2,70000
11,29,23,1,55000
11,38,10,1,30000
